"interpretacion","id_interpretacion","edad","id_usuario","id_escuela","grado","id_palabra"
"cariño","98","14","58","4","3","12"
"cariño","98","14","86","8","3","12"
"cariño","98","null","93","8","3","12"
"cariño","98","null","97","8","3","12"
"carrera","99","13","7","8","2","3"
"carrera","99","13","12","8","2","3"
"carrera","99","13","28","8","2","3"
"carrera","99","13","30","8","2","3"
"carrera","99","13","38","8","2","3"
"carrera","99","15","46","4","3","3"
"carrera","99","null","71","4","3","3"
"carrera","99","14","87","8","3","3"
"carro","100","13","6","8","2","3"
"carro","100","13","14","8","2","3"
"casa","101","13","25","8","2","3"
"casa","101","14","50","4","3","13"
"casa","101","15","85","8","3","13"
"casa","101","14","99","8","3","13"
"casa estable","102","13","3","8","2","13"
"casados","103","14","40","8","2","8"
"castigo","104","13","18","8","2","1"
"castigos","105","15","82","8","3","12"
"castigos","105","16","84","8","3","12"
"castigos","105","null","90","8","3","12"
"castigos","105","14","92","8","3","12"
"casual","106","13","33","8","2","15"
"cauidar","107","14","67","4","3","1"
"celos","108","13","8","8","2","8"
"celos","108","13","12","8","2","8"
"celos","108","13","35","8","2","8"
"celular","109","14","4","8","2","11"
"celular","109","13","6","8","2","11"
"celular","109","13","7","8","2","11"
"celular","109","13","12","8","2","11"
"celular","109","null","15","8","2","11"
"celular","109","null","17","8","2","11"
"celular","109","13","19","8","2","11"
"celular","109","13","21","8","2","11"
"celular","109","13","25","8","2","11"
"celular","109","13","27","8","2","11"
"celular","109","13","36","8","2","11"
"celular","109","14","49","4","3","11"
"celular","109","14","52","4","3","11"
"celular","109","14","53","4","3","11"
"celular","109","15","55","4","3","11"
"celular","109","14","56","4","3","11"
"celular","109","14","62","4","3","11"
"celular","109","14","64","4","3","11"
"celular","109","14","68","4","3","11"
"celular","109","14","74","4","3","11"
"celular","109","15","77","4","3","11"
"celular","109","14","87","8","3","11"
"celular","109","15","89","8","3","11"
"celular","109","null","90","8","3","11"
"celular","109","null","94","8","3","11"
"celular","109","15","96","8","3","11"
"chasty","110","15","45","4","3","17"
"chat","111","13","27","8","2","11"
"chidos","112","null","80","8","3","4"
"china","113","15","48","4","3","11"
"china","113","14","50","4","3","11"
"china","113","14","54","4","3","11"
"china","113","14","62","4","3","11"
"china","113","14","73","4","3","11"
"chiquillos","114","15","55","4","3","9"
"cigarros","115","14","68","4","3","5"
"cirrosis","116","13","7","8","2","6"
"cocaína","117","13","26","8","2","5"
"cocaína","117","13","36","8","2","5"
"cocaína","117","14","69","4","3","5"
"cocaína","117","14","76","4","3","5"
"cocaína","117","14","87","8","3","5"
"cocaína","117","15","96","8","3","5"
"cocaína","117","null","97","8","3","5"
"coger","118","14","52","4","3","8"
"coherencia","119","14","100","8","3","8"
"coito","120","14","58","4","3","1"
"coito","120","14","62","4","3","1"
"colaboración","121","14","86","8","3","8"
"comer","122","14","49","4","3","13"
"comida","123","15","45","4","3","3"
"comida","123","16","1","8","2","7"
"comida","123","13","39","8","2","7"
"comida","123","14","41","4","3","7"
"comida","123","13","11","8","2","13"
"comida","123","14","42","4","3","13"
"comida","123","14","50","4","3","13"
"comida","123","14","54","4","3","13"
"comodidad","124","13","37","8","2","7"
"comodidad","124","14","91","8","3","12"
"comodidad","124","13","7","8","2","13"
"comodidad","124","null","17","8","2","13"
"comodidad","124","13","21","8","2","13"
"comodidad","124","13","25","8","2","13"
"comodidad","124","13","37","8","2","13"
"comodidad","124","13","39","8","2","13"
"comodidad","124","14","42","4","3","13"
"comodidad","124","14","49","4","3","13"
"comodidad","124","14","62","4","3","13"
"comodidad","124","14","63","4","3","13"
"comodidad","124","15","82","8","3","13"
"comodidad","124","null","83","8","3","13"
"comodidad","124","14","86","8","3","13"
"comodidad","124","14","87","8","3","13"
"comodidad","124","null","88","8","3","13"
"comodidad","124","15","96","8","3","13"
"compañerismo","125","null","80","8","3","8"
"compañerismo","125","null","81","8","3","8"
"compañero","30","null","71","4","3","5"
"compañero","30","null","71","4","3","6"
"compañero","30","14","72","4","3","6"
"compañero","30","14","73","4","3","6"
"compañero","30","null","71","4","3","8"
"compañero","30","null","71","4","3","9"
"compañero","30","null","71","4","3","10"
"compañero","30","15","46","4","3","16"
"compañero","30","15","46","4","3","17"
"compañero","30","14","54","4","3","17"
"compañeros","126","14","73","4","3","15"
"compartir","127","15","85","8","3","7"
"comprensión","128","14","49","4","3","12"
"compromiso","129","13","28","8","2","1"
"compromiso","129","13","35","8","2","1"
"computadora","130","13","34","8","2","11"
"computadora","130","null","97","8","3","11"
"computadoras","131","14","53","4","3","11"
"comunicación","132","null","80","8","3","11"
"conalep","133","14","51","4","3","1"
"conalep","133","14","54","4","3","1"
"conalep","133","14","50","4","3","9"
"concejos","134","13","19","8","2","17"
"condón","135","14","40","8","2","1"
"condón","135","14","50","4","3","1"
"condón","135","15","85","8","3","1"
"condón","135","14","99","8","3","1"
"condón","135","13","3","8","2","7"
"condón","135","14","2","8","2","9"
"condón","135","13","3","8","2","9"
"condón","135","13","9","8","2","9"
"condón","135","13","19","8","2","9"
"condón","135","13","21","8","2","9"
"condón","135","13","30","8","2","9"
"condón","135","13","34","8","2","9"
"condón","135","13","39","8","2","9"
"condón","135","null","71","4","3","9"
"condón","135","14","74","4","3","9"
"condón","135","null","32","8","2","16"
"condón","135","14","40","8","2","16"
"condón","135","14","52","4","3","16"
"condón","135","14","98","8","3","16"
"confesar ","136","14","57","4","3","17"
"confianza","137","14","44","4","3","8"
"confianza","137","14","49","4","3","8"
"confianza","137","14","62","4","3","8"
"confianza","137","null","80","8","3","9"
"confianza","137","null","81","8","3","9"
"confianza","137","14","86","8","3","9"
"confianza","137","14","87","8","3","9"
"confianza","137","15","96","8","3","9"
"confianza","137","14","99","8","3","9"
"confianza","137","14","100","8","3","9"
"confianza","137","14","86","8","3","10"
"confianza","137","13","24","8","2","12"
"confianza","137","14","44","4","3","12"
"confianza","137","14","49","4","3","12"
"confianza","137","15","77","4","3","12"
