Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF,SFBool
confianza y seguridad,7,17,535,13,8,2,0,false,0,0,0,1,true,8,0,8691,1,8,0,8691,1
embarazo y aborto,7,1,3,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
embarazo y responsabilidad,7,1,513,15,8,3,0,false,0,0,0,1,true,1,0.05,13,1,1,0.05,13,1.05
embarazo y no deseado,3,1,402,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
acoso y bullying,6,2,85,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
acoso y agresión,4,2,24,15,8,3,0,false,0,0,0,1,true,3,0.077777778,18,1,3,0.077777778,18,1.077777778
acoso y observación,3,2,418,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
futuro y trabajo,9,3,583,15,8,3,0,false,0,0,0,1,true,81,0.005471381,345,1,81,0.005471381,345,1.005471381
futuro y estudios,7,3,233,15,8,3,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821,1.425
futuro y metas,6,3,372,15,8,3,0,false,0,0,0,1,true,3,0.3,494,1,3,0.3,494,1.3
emociones y felicidad,11,4,247,14,8,3,0,false,0,0,0,1,true,2,0,13,1,2,0,13,1
emociones y alegría,5,4,27,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
emociones y confusión,5,4,141,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y adicción,16,5,18,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y alucinación,5,5,33,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y perdición,4,5,448,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y fiesta,8,6,254,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y vicio,8,6,597,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y borracho,3,6,78,15,8,3,1,true,1,0,12799,0,false,0,0,0,1,1,0,12799,1
fiesta y diversión,13,7,205,14,8,3,0,false,0,0,0,1,true,5,0,13,1,5,0,13,1
fiesta y drogas,5,7,212,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
fiesta y alcohol,4,7,26,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y sentimientos",8,8,537,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
